Analyse enrichment

MAL ID: 1195 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 29 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 9776 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 3090 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 9201 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 24833 | AniList ID: (hidden) | Enrichment: Success | Relations: 7
MAL ID: 2251 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 1589 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1686 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 762 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 834 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 31964 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 1690 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 10800 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 6573 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 974 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 31163 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 2759 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 3784 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 31931 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 5114 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 430 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 918 | AniList ID: (hidden) | Enrichment: Success | Relations: 12
MAL ID: 28977 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 2494 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 1142 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 37141 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 6372 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 6637 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
